name,institution,delete
Therese Jefferson,Curtin University of Technology,
Omar Guezoul,Université Kasdi Merbah Ouargla,x
Pablo Vallejo-Medina,Fundación Universitaria Konrad Lorenz,x
Jagdish Srivastava,Colorado State University,
Kirsten N. Corazzini,Duke University School of Nursing,
Eric Teman,University of Northern Colorado,
Agnes Jasinska,"Neuroimaging Research Branch, National Institute on Drug Abuse, Intramural Research Program, Baltimore",
Campbell Killick,South Eastern Health and Social Care Trust,x
Paul Baginski,Fairfield University,
In Sook Lee,Seoul National University,
CLAIRE FALANDRY,"Department of Geriatrics, Centre Hospitalier Lyon Sud, Pierre-Bénite, France",x
Muhammad Abdulkarim,Universiti Teknologi PETRONAS,
Wenqi Mok,"Khoo Teck Puat Hospital, Singapore 768828, Singapore",
David Schwappach,University of Bern,x
Lucas Torres,Ecole doctorale Gay Lussac,
Javier Baluja,University of La Rioja,
Merrill Warkentin,Mississippi State University,x
Philip Menard,Mississippi State University Mississippi State,x
Mohd Fadzli Mohamad Isa,-,x
Xiang Xie,Xinjiang Medical University,x
Laura Burton,"University of Connecticut, Storrs, CT",
Philip MenardMississippi,State University Mississippi State,x
Blanca Rosa García Rivera,Universidad Autónoma de Baja California,
Lisa Wallander,"School of Social Work, Lund University, Stockholm University",
Judith Oller,University of Girona,
Meike Müller-Engelmann,University of Marburg,
David Frederick,Chapman UniversitY,
Xiang Xie,First Affiliated Hospital of Xinjiang Medical University,
Mireia Orgilés,Miguel Hernández University of Elche,x
Jacqueline Stokes,College of New Caledonia,x
Sunil Gupta,"Center for Pattern Recognition and Data Analytics (PRaDA), Deakin University, VIC 3216, Australia",
"Hron, Jan",Czech University,
M. Mostafa Zaman,"Division of NCD, World Health Organization",
Bruno Schivinski,"Faculty of Management and Economics, Department of Marketing, Gdansk University of Technology",
Caroline Bradbury-Jones,"School of Nursing Reader in Nursing, Dundee University, SVOTLAND",
Anne Collins McLaughlin,North Carolina State University,
Zehavit Gross,"School of Education, Bar- Ilan University, Israel",
Nicolas Bourgeois,SAMM - Université Paris,
Jingyuan Shi,"Nanyang Technological University, Singapore",
Scott Chapman,Trinity University,x
GolBahar Samiei,Islamic Azad University,
Els Waegeneer,Department of Movement and Sports Sciences,
"Richard , Ayamaha","St. Joseph’s College of Education,",
S. F. Chao,University of Albany,
Anthony R. Artino,University of the Health Sciences,
Michael Furlong,"University of California, Santa Barbara",
Guy Enosh,"Myers-JDC-Brookdale Institute, Jerusalem, Israel, University of Haifa",
Liang Ting Tsai,National Taichung University of Education,
Ionescu Daniela,West University of Timisoara Publishing House,
Lisa Wallander,Stockholm University,x
Ramazan Tilaki1,"Department of Environmental Health Engineering, Faculty of Health, Health Sciences Research Center, Mazandaran University of Medical Sciences, Sari, Iran",
Job Dubihlela,Vaal University of Technology,
Cecilia Fagerström,Blekinge Institute of Technology,
Cristinel Mortici,Valahia University of Targoviste,x
Renato Miguel Carmo,Lisbon University Institute,
Lisa Wallander,LUND UNIVERSITY,x
Yasmin Ismail,"Bristol Heart Institute, University Hospitals Bristol NHS Foundation Trust, Bristol Royal Infirmary",
Michio Yamamoto,Kyoto University Graduate School of Medicine,
Eduardo Paiva,"School of Engineering of Lorena, University of São Paulo",
Cecilia Pace,Università degli Studi di Genova,
Lisa Wallander,Lund University,x
RS Piccolo,"New UK Research Institutes, Watertown, USA",
Marianna Fontana,Imperial College London,
Joan Boada-Grau,Rovira i Virgili University,
Aigbavboa C.O.,"University of Johannesburg, Johannesburg, South Africa",
Mareike Reimann,University of Bielefeld,
Victor Kuete,"University of Mainz,Germany",
Annie Robitaille,University of Victoria,
Nathalie Steinhauer,University of Maryland,
Rachel Davis,IMPERIAL COLLEGE LONDON,x
George G. Bear,University of Delaware,
Reid Bates,Louisiana State University,
Solange Wechsler,Universidade Católica de Campinas,
Justus J. Randolph,Mercer University,
Rachel Davis,Imperial College London,x
David Wyrick,University of North Carolina at Greensboro,
Mengcheng Wang,Central South University,
Barbara Loera,University of Turin,
Chandra Mundon,University of  Oregon,
Chizuko Wakabayashi,"Department of Basic Medical Sciences, School of Health Sciences, Gunma University, Maebashi, Gunma, Japan",
Richard Pak,Clemson University,
Fariba Behnamfar,"Depatment of Obstetrics and Gynecology, School of Medicine, Isfahan University of Medical Sciences, Isfahan, Iran",
Jordan B. Barlow,Kelley School of Business,
Hans J.C.T. Wessels,Nijmegen Centre for Mitochondrial Disorders,
Thomas Arx,University of Bern,
Agustín Silberberg,Austral University,
Mikael Persson,University of Gothenburg,
Ibtissam Sabbah,"Lebanese University, Saida, Lebanon",
Fuad Ahmad Hazime,Universidade Federal do Piauí – UFPI,
Jae Kim,Iowa State University,
Guy Enosh,University of Haifa,x
Eva Samuelsson,"Stockholm University, Stockholm, Sweden",
Gerald Albaum,"(Anderson School of Management, University of New Mexico, Albuquerque, New Mexico, USA)",
Francis G. Caro,"University of Massachusetts Boston, Boston, MA, USA",
Yourhee Jeon,"College of Medicine, Hanyang University, Seoul, Korea",
Eva Samuelsson,"Stockholm University, Stockholm, Sweden",x
Merrill Warkentin,Mississippi State University,x
Therese Jefferson,Curtin University,x
Kathleen Wyne,The Ohio State University,
SaveenN. Semage,"Department of Public Health Sri Lanka Army Medical Services Colombo Sri Lanka ; Centre for Health Policy, Program and Economics Melbourne School of Population Health, University of Melbourne Australia,saveen70@yahoo.com",
Fuad Hazime,Universidade Federal do Piauí,
Stephen Lawoko,Karolinska Institute,x
Shannon Sahlqvist,"Institute of Public Health, Cambridge UK",
Jiaquan Fan,Mayo Clinic,
Biljana Stojanović,Department of Drug AnalysisUniversity of BelgradeBelgradeSerbia,
Thomas von Arx,University of Bern,
Philip Vernon,University of Calgary,
Huajuan Chen,Cambridge University,
Elzette M. Keenan,North-West University,
Peter Sarlin,Goethe University Frankfurt,
Jae kwang Kim,Iowa State University,
Carmen Viejo,University of Cordoba (Spain),
Merrill Wardentin,Professor of MIS,
Yoo Jang,Wonkwang University,
Benjamin Friedman,Albert Einstein College of Medicine,
Dafnis Coudounaris,Luleå University of Technology,
Eva Ortega,University of Salamanca,
Benjamin W Friedman,Albert Einstein College of Medicine,
Heide Glaesmer,University of Leipzig,
Adam Carle,"Department of Pediatrics, University of Cincinnati School of Medicine, Department of Psychology, University of Cincinnati College of Arts and Sciences, James M. Anderson Center for Health Systems Excellence Cincinnati Children’s Hospital and Medical Center",
Daniela Riso,University of Padova,
Darius B Dawson,"San Diego State University, USA",
Silvia Montecolle,Socio-demographic and Environmental Statistics Directorate,
J. ASANTEY,Standard Chartered Bank Ghana,
Nancy Gordon,"Division of Research, Kaiser Permanente Medical Care Program",
Tian Hong Zhang,Shanghai Jiaotong University,
Chuang Wang,"University of North Carolina at Charlotte, NC, USA",
Darius B Dawson,Dawson,x
Fernando Galán,University of Seville,
Julien Jacques,Université Lille 1 and Inria Lille-Nord Europe,
Pérez Gómez,"Pontificia Universidad Javeriana, Faculty of Medicine, Master in Clinical Epidemiology",
Gehan A.G. ELMENOFI,Agriculture Extension and Rural Development Research Institute,
Chin Khian Yong,University Tunku Abdul Rahman,x
Mourad Oubrich,University of South Florida - Muma College of Business,
Nicolas Gillet,François Rabelais University,
V. Mészáros,"Institute of Psychology, university Budapest, Hungary",
Valentina Di Stasio,University of Amsterdam,x
Tian Zhang,"Shanghai Mental Health Center, Shanghai Jiaotong University School of Medicine, Shanghai 200030, PR China",
Luca Iani,Department of Human SciencesEuropean University of RomeRomeItaly,
Lars-Erik Aas,Norwegian University of Science and Technology,
Chuan Hsiung Ping,National Taiwan University,
Katrin Auspurg,Goethe-Universität Frankfurt,x
Martin Abraham Abraham,"Friedrich-Alexander-University of Erlangen-Nürnberg, ",x
Matthew Witry,"University of Iowa College of Pharmacy, Iowa City, USA",
Dale Willits,California State University,x
Bass Brock,CLEMSON UNIVERSITY,
Eldad Davidov,Institute of Sociology at the University of Zurich,
Yoshiyuki Matsumura,Yoshiyuki Matsumura Photography,
Ebrahim Alwashali,Laboratory of Biodiversity and Natural Resources,
Maria Brenner,University of College Dublin,
Elie Akl,State University of New York at Buffalo,
Shobha Gawri,"GD Rungta College of Science & Technology, Bhilai 490024, Chhattisgarh, India",
Harries Priscilla,Brunel University,
Brock Bass,Clemson University,x
Eva Samuelsson,Stockholm University,x
Christine Horne,"Washington State University, United States",
Tianhang Long,"Shanghai Mental Health Center, Shanghai Jiaotong University School of Medicine, Shanghai 200030, PR China",
Li Linlin,Zhengzhou,x
Jens Hainmueller,Stanford University,
Dirk Van Dierendonck,"Rotterdam School of Management, Erasmus UniversityErasmus University RotterdamRotterdamThe Netherlands",
Sangshin Park,"Department of Veterinary Integrative Biosciences, College of Veterinary Medicine and Biomedical Sciences, Texas 6 A&M University, College Station, TX 77843; Center for International Health Research, Rhode Island Hospital, The Warren Alpert Medical School of Brown 8 University, Providence, RI 02903",
Li Linlin,Zhengzhou University,
M Böckermann,PsycARTICLES,
Hiremath P. S.,Gulbarga University,
Frieder R. Lang,University of Erlangen-Nuremberg,
Maranda McBride,North Carolina A&T State University,x
Qasem Mamun Ali Naji,Aligarh Muslim University,
Marwa S. Elazazy,"Department of Chemistry and Earth Sciences, College of Arts and Sciences, Qatar University, P.O.Box 2713, Qatar",
"Stefan , Liebig",Bielefeld University,
Chin Khian Yong,Universiti Tunku Abdul Rahman,
John McKinlay,"New England Research Institutes (NERI) and Division of Medicine, Massachusetts General Hospital, Harvard Medical School",
R. BOSE,"Colorado State University, Fort Collins",
Valentina Di Stasio,University of Amsterdam,
Rhoda Wanyenze,"Department of Disease Control and Environmental Health, Makerere University School of Public Health, Kampala, Uganda",
Linda Rossi-Semerano,"Department of Paediatric Rheumatology, Hôpital de Bicêtre, APHP, National Reference Centre for Auto-inflammatory Diseases, Le Kremlin-Bicêtre, University of Paris Sud, CHU de Bicêtre. 78 Rue du Général Leclerc, 94270, Le Kremlin, Bicêtre, France",
Shobha Gawri,"GD Rungta College of Science & Technology, Bhilai 490024, Chhattisgarh, India",x
John B. McKinlay,New England Research Institutes,x
John B. McKinlay,Harvard Medical School,x
Sonia Lewycka,"Institute for Global Health, University College London, London, UK",
Annette M. La Greca,"University of Miami, Coral Gables, FL, USA",
Olivares Faúndez,Pontificia Universidad Javeriana,
Amy Tegeler,Humboldt State University,
Yannick Morvan,"Université Paris Descartes, Faculté de Médecine Paris Descartes, Centre Hospitalier Sainte-Anne, Paris, France",
Ashley Waters,Auburn University,
Spencer C. Evans,University of Kansas,
Tyge-F. Kummer,"Humboldt-Universität zu Berlin, Institute of Information Systems, Spandauer Strasse 1, 10178 Berlin, Germany",
Manuel Moreno,Universidad de Guadalajara,
Sebastian Sattler,"Faculty of Sociology, Bielefeld University, Bielefeld, Germany, Institute of Psychology, University of Freiburg, Freiburg, Germany, University of Cologne",
Lorena Remuzgo,University of Cantabria,
Filip Raes,Department of Psychology University of Leuvan Tiensestraat,
Lisa W. Howley,University of Colorado at Denver,
John B. McKinlay,"Massachusetts General Hospital, Harvard Medical Schoo",
Simone Schelling,Royal College of Physicians,
Spencer Evans,University of Kansas,
Robert Crouch,University of Southampton,
Mohd Azri Mohd Suan,Clinical Research Center,
Avi Goldfarb,University of Toronto,
Anthony Braga,Rutgers University,
Daniel P. O'Connor,University of Houston,
Joanne E. Porter,Federation University,
Ulrich S. Tran,University of Vienna,
Kseniia Gatskova,Lady Stevenson Library,x
Anthony A. Braga,Rutgers University,
Jennifer McClure,"Group Health Research Institute, Seattle, WA, United States",
Jens Hainmueller,Stanford University,x
Noboru HAMADA,"Department of Mathematics, faculty of Science, Hiroshima University",
G. Logeshwari,"St. Joseph’s College of Engineering, Chennai, India",
John McKinlay,"New England Research Institutes (NERI), Watertown",x
KASIA KARPINSKA,"Cambridge University, Utrecht University,The Netherlands.",
Daniel Peralta,"University of Granada,Spain",
Sandra Nitz,"Biology Education, IPN - Leibniz Institute for Science and Mathematics EducationKielGermany",
Silvina Berra,National Research and Technology Council (CONICET),
Olga Geisel,Charité Medical University of Berlin,
Christine DiStefano,University of South Carolina,
Sandra Nitz,Humboldt-Universität zu Berlin,x
Steven A. Melnyk,Michigan State University,
Theodoros BEchrakis,"Panteion University of Political and Social Sciences, Hellenic Republic",
Toni Mc Aloon,"School of Nursing Faculty Of Life & Health Sciences, Ulster University",
Chin-Khian Yong,"Universiti Tunku Abdul Rahman, Malaysia",
Eduardo Fasce H.,Universidad de Concepción,
Pascale A.M. Simons,Hasselt University,
Daniel Peralta,University of Granada,x
Wakako Umene-Nakano,"Department of Psychiatry, University of Occupational and Environmental Health, Kitakyushu, Japan",
Jiaming Fang,University of Electronic Science and Technology of China,x
Celeste Condit,"Department of Speech Communication, University of Georgia",
Mike Fray,Loughborough University,
Jeremy Albright,University of Michigan Medical School,
Francisco Olvera,Andalusian Institute of Sexology and Psychology,
Juan S. Uribe,University of South Florida,
Corine Buers,"Utrecht University,The Netherlands.",
Cheryl Arndt,Capella University,
Pascale Simons,"Hasselt University, Faculty of Business Economics, Martelarenlaan 42, BE3500 Hasselt, Belgium",
Sebastian Sattler,"Faculty of Sociology, Bielefeld University, Bielefeld, Germany",x
Valerie Lewis,Harvard University,
Roberto Romi,"Department of Infectious, Parasitic and Immuno-mediated Diseases, Unit of Vector Borne Diseases",
Andrii Gorbachyk's,Taras Shevchenko National University of Kyiv,
M Brenner,University College Dublin,
Wanting Liu,Central South University,
Indumati B Deshmanya,"PDA College Engineering, Gulbarga",
Eugenio Zito,University of Naples Federico II,x
Katrin Auspurg,LMU Munich,x
Marilyn J. Coleman,University of Missouri,
Leonor Cordob,"Universidad de la sabana, Bogota, COlombia",
Jiaming Fang,"School of Management and Economics, University of Electronic Science and Technology of China, Chengdu, China.",
Marina Romeo,Universidad de Barcelona,
Krysia Dziedzic,Keele University,
Eugenio Zito,"University of Naples Federico II, Naples, Italy",
W Rössler,University Hospital of Psychiatry,
Hana Brborović,University of Zagreb,
Nathanael Cox,Massachusetts Institute of Technology.,
Flavia Ruggieri,Institute of Earth Sciences Jaume Almera,
Jinan C Banna,University of California,
Annie Franco,Stanford University,
Wilbert Sibanda,North-West University,
Katrin Auspurg,Goethe University,x
Wilbert Sibanda,North-West University,x
Hana Brborović,University of Zagreb,x
Heather Starnes,California Polytechnic State University,
Jafar Faraj,Hamad General Hospital,
Sukkyung You,Hankuk University of Foreign Studies,x
Kellie H Campbell,University of Chicago,
S. Kruphölter,Universität Bielefeld,
Abhinav Vasudevan,Monash University,
Nancy Maserejian,New England Research Institutes,
Sagar More,"Department of Electronics and Telecommunication, R.C.Patel Institute of Technology,Shirpur,Dist.Dhule.Maharashtra,India",
Jianru Zhao,China University of Geosciences Wuhan China,
Toni McAloon,School of Nursing,
Heather A Starnes,"Cal Poly State University San Luis Obispo, California",
Sagar More,R.C.Patel Institute of Technology,x
Joanna Huxster,"DREXEL UNIVERSITY, PHILADELPHIA",
Dorota Reis,Saarland University,
Michaela Haase,Freie Universität Berlin,
D.R Del Carmen,VII International Postharvest Symposium,
Sukkyung You,Hankuk University of Foreign Studies · College of Education,x
Steve Newell,"University of Florida, Department of Psychology",
Kathryn Starr,"University of Aberdeen, Scotland",
Kent Marett,"Mississippi State University, Mississippi, Mississippi, USA",
Justine Sheppard,Columbia University,
Dirk Heerwegh,"Katholieke Universiteit Leuven, Center for Sociological Research, Parkstraat 45 – bus 3601, 3000 Leuven, Belgium",
Shamila Nabi,Lahore School of Economics,
Kasia Karpinska,Utrecht University,x
Ng Guan,University Malaya,
Kaori Fujishiro,National Institute for Occupational Safety and Health,
Ana Costa-Machado,Universidade de São Paulo,
Tao Hong,American Society for Engineering Education,
Hamidreza Ferdowsi,"Institute of Scientific-Applied Higher Education of Jihad-e-Agriculture, Agricultural Research, Education and Extention Organization, Tehran, Iran",
Samuel M. Vance,SAINT LOUIS UNIVERSITY,x
Hamidreza Ferdowsi,Institute of Scientific-Applied Higher Education of Jihad-e-Agriculture,x
Jing Yu,"Institute of Neuroinformatics, Dalian University of Technology",
Shamila Khan,"Department of Business, Lahore School of Economics, Lahore, PAKISTAN",
Mario-Enrique Rendón-Macías,Instituto Mexicano del Seguro Social,
Bruce Frederick,Vera Institute of Justice,
Basha Vicar,Institute for Employment Research,
ZOU Xue-zhi,Zhejiang Sci-tech University,
Wolfgang Garn,University of Surrey,
Bruce Frederick,Vera Institute of Justice,x
Michael E.R. Nicholls,Flinders University,
Vadim Lozin,University of Warwick,x
Rahul Khanna,The University of Mississippi,
Matteo Bianchi,Swedish University of Agricultural Sciences,
Philip Batterham,"The Australian National University, Canberra",
IAN BRUNTON‐SMITH,University of Surrey,
A. Alexander Beaujean,Baylor University,
Vadim Lozin,"Centre for Discrete Mathematics and Its Applications (DIMAP), University of Warwick",
Chanchal Yadav,"CSE, Amity University Noida, Uttar Pradesh, India",
Boris Pasquier,Cornell University,
TANJA TYDÉN,"Uppsala University , Uppsala,  Sweden",
P. Raju B. Satyanarayana,GITAM University,
Michael McGinnis,Pennsylvania State University,
Christopher Gedeon,Arizona State University,
Georgina Charlesworth,"Research Department of Clinical, Educational, and Health Psychology, University College London",
David Eargle,University of Pittsburgh,
Olalla BAZ CORES,Centro de Investigación en Criminología. Universidad de Castilla-La Mancha Olalla.Baz@uclm.es,
A. Alexander Beaujean,Baylor University,x
Roy McConkey,Ulster University,
Adam C. Carle,"Assistant Professor of Pediatrics, University of Cincinnati School of Medicine",
Daniella Negroni,Aeronautics Institute of Technology,
Hanns-Ludwig Schmidt,"Technische Universität München, Freising-Weihenstephan, Germany",
Rati Saluja,"Mechanical Engineering Department, Goel Institute of Technology and Management, India",
G Rouxel,Centre de psychologie appliquée,
Shakil Momin,"Perioperative Physician Anaesthesiologist, Kolhapur, Maharashtra, India",
Herman Aguinis,Indiana University,
Peder Halvorsen,"Department of Community Medicine, UiT - The Arctic University of Norway, P.o. box 6050 Langnes, N-9037, Tromsø, Norway",
Nicole Glaser,"Department of Pediatrics, University of California Davis",
Mirka Soinikoski,"Department of Anesthesia, Intensive Care Medicine, Emergency Medicine and Pain Medicine, Turku University Hospital, Turku, Finland",
Deepsikha Sahu,"Faculty of Dental Sciences, SGT University",
Samuel M. Vance,Saint Louis University,
Rachel Smith,Pennsylvania State University,
Nicole S Glaser,University of California,
Samuel Vance,"Parks College of Engineering, Aviation and Technology, Saint Louis University",
Øyvind Dahl,"NTNU Social Research Ltd.,Loholt Alle 81,Trondheim 7491,Norway",
Lamia Moghnie,University of Michigan,
Jessica Collett,University of Notre Dame,
Teo Keipi,"Department of Social Research, University of Turku,",
Susanne Edler,Bielefeld University,
Saida P. Khan,Cambridge University,
Luís Manuel dos Santos Calmeiro,"University of Durham, UK",
Paul Spector,"University of South Florida, Department of Psychology",
Alan D. Dangour,London School of Hygiene & Tropical Medicine,x
Michael Naughton,"Department of Mechanical & Automobile Engineering, Limerick Institute of Technology, Moylish, Limerick, Ireland",
Alan D. Dangour,London School of Hygiene & Tropical Medicine,
Kirsten Martin,School of BusinessThe George Washington UniversityWashingtonUSA,
Solene Marry,"Université Paris Est, CSTB (Centre Scientifique et Technique du Bâtiment), 24 Avenue Joseph Fourier, Saint Martin d’Hères, France",
Carolina Jélvez Wilke,Estudiante de Psicología Universidad de las Américas sede Viña del Mar.,
Jol Stoffers,Zuyd University,x
Charlene Treanor,Queen’s University Belfast,
Lina Jaruseviciene,"University of Health Sciences, Kaunas",
Carolina Jélvez,Universidad de las Américas sede Viña del Mar,
Zeinab Rostami,University of Isfahan,
Carol L. Link,"New England Research Institutes, Watertown, Massachusetts",
Olusola Adekunle,Department of Architectural Technology,
Lena Spangenberg,University of Leipzig,
Marc J. Claeys,"Department of Cardiology, Antwerp University Hospital, Belgium,marc.claeys@uantwerpen.be",
Yvette Miller,"School of Public Health & Social Work, Queensland University of Technology, Victoria Park Road, Kelvin Grove, Brisbane, Queensland 4059, Australia",
Fanxing Meng,Tsinghua University,
Sebastian Sattler,University of Cologne,x
Jaap Oude Mulders,University of Groningen,
Jane Cramm,"Institute of Health Policy & Management (iBMG), Erasmus University, Rotterdam, The Netherlands",
E. Mousa,Central Metallurgical Research and Development Institute,
Jol STOFFERS,"Research Centre of Employability, Zuyd University of Applied Sciences, Heerlen-Maastricht-Sittard,  The Netherlands",
Daniela Di Riso,University of Padua,x
Matthew Witry,University of Iowa,x
Mohammad Haghighi,"University of medical sciences, Hamadan, Iran",
Helen Chattopadhyay,UNIVERSITY OF CALCUTTA,
Petrus Nel,"IDepartment of Industrial Psychology, University of the Free State, South Africa",
Helena Milagre,Universidade de Lisboa,
Mohammad Haghighi,Hamadan University of medical sciences,x
Jeffrey Manning,University of Chicago,
Christian Dualé,Centre de Pharmacologie Clinique,
Petrus Nel,University of the Free State,x
Zarrin CHUA,Institut Supérieur de l’Aéronautique et de l’Espace ‐SUPAERO,
Gudmundur Skarphedinsson,The Center for Child and Adolescent Mental Health,x
José Buz,Universidad de Salamanca,
Marina Müller,Institute for Landscape,
Maureen R Weiss,University of Minnesota,
Nicole Lucas,Fayetteville State University,
Yang Cao,"Key Laboratory of Mental Health, Institute of Psychology, Chinese Academy of Sciences, Beijing, China",
Maureen Weiss,UNIVERSITY OF MINNESOTA,
Alev ÖZKÖK,Hacettepe University,
Filipe Afonso,"SYROKKO, Aéropôle, Paris - Roissy CDG Cedex, France",
Michael B. McFarland,"McFarland Psychology, PLLC, University of North Texas",
Stuart A. Little,Newcastle University,
Shandra Forrest-Bank,University of Tennessee,
"Mohammad Haghighi,","Research Center for Behavioural Disorders and Substance Abuse of Hamadan University of medical sciences, Hamadan, Iran",
Simone Schneider,University of Bielefeld,
Courtney Marie Cora Jones,University of Rochester,
Stefan Liebig,University of Bielefeld,x
Daniel Selva,Massachusetts Institute of Technology,
Micaela Pinho,Portucalense University,
Michael B. McFarland,University of North Texas,x
Charles Reuter,Université de Paris Ouest,
Stuart Little,American Diabetes Association,x
Luis Solano-Mora,"School of Human Movement and Quality of Life Sciences, National University of Costa Rica,",
Lazim Abdullah,University Malaysia Terengganu,
Daniela Di Riso,"Department of Psychology, University of Padua",
Stuart Little,"Institute of Cellular Medicine, Newcastle University, Newcastle, U.K.",
Wilfred W.F. Lau,The Chinese University of Hong Kong,
Charles Reuter ,"ESCP Europe (Finance), Université de Paris Ouest (CEROS)",
Daniel Oberski,University of Maryland,
Theodore T. Allen,The Ohio State University,
John Devaney,The University of Edinburgh,
Robin Zoe Hayeems,University of Toronto,
Martin Abraham,"University of Erlangen-Nuremberg, Germany, Friedrich-Alexander-University of Erlangen-Nürnberg, American Psychological Association",
Munashe Chigerwe,University of California-Davis,x
Dongyu Chen,University of Southern California,
Catherine Chamberlain,"Department of Surgery, School of Medicine",
"Auspurg, Katrin",University of Konstanz,
Martin C Gulliford,King's College London,
Roberto Baiocco,Sapienza University of Rome,
Hsu Ming-Shan,Tajen University and National Changhua University of Education,
Jean-Luc Chabert,Université de PicardieAmiensFrance,
Edler Susanne,Bielefeld: DFG Research Center,
Maximilian Obiakor,University of New England,
Meredith Mealer,University of Colorado,x
Gonçalo Correia,University of Coimbra,
Meredith Mealer,University of Colorado School of Medicine,
Munashe Chigerwe,"Medicine and Epidemiology, University of California-Davis, School of Veterinary Medicine, Davis, CA, USA",
Soham Rej M.D.,"Department of Psychiatry, McGill University",
Irene García-Moya,University of Seville,
Sheryl L. Chatfield,University of Mississippi,
Prof Matthew T Seymour MD,"St James's University Hospital and University of Leeds, Leeds, UK",
Patrick Thornley,McMaster University,
Sorinel Dumitrescu,"University Politehnica of Bucharest, Romania",
Eric-Jan Wagenmakers,University of Amsterdam,
Irene Garcia-Moya,"Department of Developmental and Educational Psychology, University of Seville",
Ghozlane Fleury-Bahi,Université de Nantes,
Martin Abraham,American Psychological Association,x
E. A. Mousa,Central Metallurgical Research and Development Institute (CMRDI),
Holendro Chungkham,Stockholm University,
Pentikäinen MD Ilkka,Oulu University Hospital,
Pawel Kleka,Adam Mickiewicz University,
Amy Cass,California State University,
Rosario Marrero,University of La Laguna,
Pawel Kleka,Adam Mickiewicz University,x
Holendro Chungkham,Stockholm University,x
Stephen Short,University of Kansas,x
"Matejić, Bojana R","University of Belgrade, Belgrade, Serbia",
M. Beaulieu,Université de Montréal,
Charles Alaneme,University of Benin,
Ayako Ito,Ochanomizu University,
Florian Keusch,Universität Mannheim,x
Mireia Orgilés,"Miguel Hernández University, Elche, Alicante, Spain",
"Afari, Ernest",University of Bahrain,
Misook Heo,"Duquesne University, Pittsburgh, Pennsylvania, USA",
Alexandru Cojocaru,The World Bank Group,x
